Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8252;HC 10 400Х1000;400;1000;49;678;9,25;2,17
117-8253;HC 10 400Х1100;400;1100;49;746;10,12;2,39
117-8254;HC 10 400Х1200;400;1200;49;814;10,99;2,60
117-8255;HC 10 400Х1300;400;1300;49;881;11,86;2,82
117-8256;HC 10 400Х1400;400;1400;49;949;12,73;3,04
117-8257;HC 10 400Х1500;400;1500;49;1017;13,60;3,26
117-8258;HC 10 400Х1600;400;1600;49;1085;14,46;3,47
117-8259;HC 10 400Х1700;400;1700;49;1153;15,38;3,69
117-8260;HC 10 400Х1800;400;1800;49;1220;16,25;3,91
117-8261;HC 10 400Х1900;400;1900;49;1288;17,12;4,12
117-8262;HC 10 400Х2000;400;2000;49;1356;17,99;4,34
117-8263;HC 10 400Х2100;400;2100;49;1424;18,86;4,56
117-8264;HC 10 400Х2200;400;2200;49;1492;19,73;4,77
117-8265;HC 10 400Х2300;400;2300;49;1559;20,60;4,99
117-8266;HC 10 400Х2400;400;2400;49;1627;21,47;5,21
117-8267;HC 10 400Х2500;400;2500;49;1695;22,33;5,43
117-8268;HC 10 400Х2600;400;2600;49;1763;23,20;5,64
117-8269;HC 10 400Х2700;400;2700;49;1831;24,07;5,86
117-8270;HC 10 400Х2800;400;2800;49;1898;24,94;6,08
117-8271;HC 10 400Х2900;400;2900;49;1966;25,81;6,29
117-8272;HC 10 400Х3000;400;3000;49;2034;26,68;6,51
117-8273;HC 10 500Х400;500;400;49;333;4,90;1,06
117-8274;HC 10 500Х500;500;500;49;416;5,98;1,33
117-8275;HC 10 500Х600;500;600;49;499;7,07;1,59
117-8276;HC 10 500Х700;500;700;49;582;8,15;1,86
117-8277;HC 10 500Х800;500;800;49;665;9,24;2,12
117-8278;HC 10 500Х900;500;900;49;748;10,32;2,39
117-8279;HC 10 500Х1000;500;1000;49;831;11,40;2,65
117-8280;HC 10 500Х1100;500;1100;49;914;12,49;2,92
117-8281;HC 10 500Х1200;500;1200;49;998;13,57;3,18
117-8282;HC 10 500Х1300;500;1300;49;1081;14,65;3,45
117-8283;HC 10 500Х1400;500;1400;49;1164;15,74;3,71
117-8284;HC 10 500Х1500;500;1500;49;1247;16,82;3,98
117-8285;HC 10 500Х1600;500;1600;49;1330;17,91;4,24
117-8286;HC 10 500Х1700;500;1700;49;1413;19,04;4,51
117-8287;HC 10 500Х1800;500;1800;49;1496;20,12;4,77
117-8288;HC 10 500Х1900;500;1900;49;1579;21,21;5,04
117-8289;HC 10 500Х2000;500;2000;49;1663;22,29;5,30
117-8290;HC 10 500Х2100;500;2100;49;1746;23,38;5,57
117-8291;HC 10 500Х2200;500;2200;49;1829;24,46;5,83
117-8292;HC 10 500Х2300;500;2300;49;1912;25,54;6,10
117-8293;HC 10 500Х2400;500;2400;49;1995;26,63;6,36
117-8294;HC 10 500Х2500;500;2500;49;2078;27,71;6,63
117-8295;HC 10 500Х2600;500;2600;49;2161;28,80;6,89
117-8296;HC 10 500Х2700;500;2700;49;2244;29,88;7,16
117-8297;HC 10 500Х2800;500;2800;49;2328;30,96;7,42
117-8298;HC 10 500Х2900;500;2900;49;2411;32,05;7,69
117-8299;HC 10 500Х3000;500;3000;49;2494;33,13;7,95
117-8300;HC 10 600Х400;600;400;49;390;5,76;1,22
117-8301;HC 10 600Х500;600;500;49;488;7,06;1,53
117-8302;HC 10 600Х600;600;600;49;585;8,36;1,83
117-8303;HC 10 600Х700;600;700;49;683;9,66;2,14
117-8304;HC 10 600Х800;600;800;49;780;10,96;2,44
117-8305;HC 10 600Х900;600;900;49;878;12,25;2,75
117-8306;HC 10 600Х1000;600;1000;49;975;13,55;3,05
117-8307;HC 10 600Х1100;600;1100;49;1073;14,85;3,36
117-8308;HC 10 600Х1200;600;1200;49;1171;16,15;3,66
117-8309;HC 10 600Х1300;600;1300;49;1268;17,45;3,97
117-8310;HC 10 600Х1400;600;1400;49;1366;18,75;4,27
117-8311;HC 10 600Х1500;600;1500;49;1463;20,05;4,58
117-8312;HC 10 600Х1600;600;1600;49;1561;21,35;4,88
117-8313;HC 10 600Х1700;600;1700;49;1658;22,70;5,19
117-8314;HC 10 600Х1800;600;1800;49;1756;24,00;5,49
117-8315;HC 10 600Х1900;600;1900;49;1853;25,29;5,80
