Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-9199;VC 11 400Х2400;400;2400;53;2328;26,22;5,21
117-9200;VC 11 400Х2500;400;2500;53;2425;27,28;5,43
117-9201;VC 11 400Х2600;400;2600;53;2522;28,33;5,64
117-9202;VC 11 400Х2700;400;2700;53;2619;29,39;5,86
117-9203;VC 11 400Х2800;400;2800;53;2716;30,44;6,08
117-9204;VC 11 400Х2900;400;2900;53;2813;31,50;6,29
117-9205;VC 11 400Х3000;400;3000;53;2910;32,56;6,51
117-9206;VC 11 500Х400;500;400;53;477;6,15;1,06
117-9207;VC 11 500Х500;500;500;53;596;7,49;1,33
117-9208;VC 11 500Х600;500;600;53;715;8,82;1,59
117-9209;VC 11 500Х700;500;700;53;834;10,15;1,86
117-9210;VC 11 500Х800;500;800;53;954;11,48;2,12
117-9211;VC 11 500Х900;500;900;53;1073;12,82;2,39
117-9212;VC 11 500Х1000;500;1000;53;1192;14,15;2,65
117-9213;VC 11 500Х1100;500;1100;53;1311;15,48;2,92
117-9214;VC 11 500Х1200;500;1200;53;1430;16,81;3,18
117-9215;VC 11 500Х1300;500;1300;53;1550;18,15;3,45
117-9216;VC 11 500Х1400;500;1400;53;1669;19,48;3,71
117-9217;VC 11 500Х1500;500;1500;53;1788;20,81;3,98
117-9218;VC 11 500Х1600;500;1600;53;1907;22,14;4,24
117-9219;VC 11 500Х1700;500;1700;53;2026;23,53;4,51
117-9220;VC 11 500Х1800;500;1800;53;2146;24,86;4,77
117-9221;VC 11 500Х1900;500;1900;53;2265;26,19;5,04
117-9222;VC 11 500Х2000;500;2000;53;2384;27,52;5,30
117-9223;VC 11 500Х2100;500;2100;53;2503;28,85;5,57
117-9224;VC 11 500Х2200;500;2200;53;2622;30,19;5,83
117-9225;VC 11 500Х2300;500;2300;53;2742;31,52;6,10
117-9226;VC 11 500Х2400;500;2400;53;2861;32,85;6,36
117-9227;VC 11 500Х2500;500;2500;53;2980;34,18;6,63
117-9228;VC 11 500Х2600;500;2600;53;3099;35,52;6,89
117-9229;VC 11 500Х2700;500;2700;53;3218;36,85;7,16
117-9230;VC 11 500Х2800;500;2800;53;3337;38,18;7,42
117-9231;VC 11 500Х2900;500;2900;53;3457;39,51;7,69
117-9232;VC 11 500Х3000;500;3000;53;3576;40,85;7,95
117-9233;VC 11 600Х400;600;400;53;565;7,26;1,22
117-9234;VC 11 600Х500;600;500;53;706;8,87;1,53
117-9235;VC 11 600Х600;600;600;53;848;10,47;1,83
117-9236;VC 11 600Х700;600;700;53;989;12,08;2,14
117-9237;VC 11 600Х800;600;800;53;1130;13,69;2,44
117-9238;VC 11 600Х900;600;900;53;1271;15,30;2,75
117-9239;VC 11 600Х1000;600;1000;53;1413;16,91;3,05
117-9240;VC 11 600Х1100;600;1100;53;1554;18,52;3,36
117-9241;VC 11 600Х1200;600;1200;53;1695;20,13;3,66
117-9242;VC 11 600Х1300;600;1300;53;1836;21,74;3,97
117-9243;VC 11 600Х1400;600;1400;53;1978;23,34;4,27
117-9244;VC 11 600Х1500;600;1500;53;2119;24,95;4,58
117-9245;VC 11 600Х1600;600;1600;53;2260;26,56;4,88
117-9246;VC 11 600Х1700;600;1700;53;2402;28,22;5,19
117-9247;VC 11 600Х1800;600;1800;53;2543;29,83;5,49
117-9248;VC 11 600Х1900;600;1900;53;2684;31,44;5,80
117-9249;VC 11 600Х2000;600;2000;53;2825;33,05;6,10
117-9250;VC 11 600Х2100;600;2100;53;2967;34,66;6,41
117-9251;VC 11 600Х2200;600;2200;53;3108;36,26;6,71
117-9252;VC 11 600Х2300;600;2300;53;3249;37,87;7,02
117-9253;VC 11 600Х2400;600;2400;53;3390;39,48;7,32
117-9254;VC 11 600Х2500;600;2500;53;3532;41,09;7,63
117-9255;VC 11 600Х2600;600;2600;53;3673;42,70;7,93
117-9256;VC 11 600Х2700;600;2700;53;3814;44,31;8,24
117-9257;VC 11 600Х2800;600;2800;53;3956;45,92;8,54
117-9258;VC 11 600Х2900;600;2900;53;4097;47,53;8,85
117-9259;VC 11 600Х3000;600;3000;53;4238;49,13;9,15
117-9260;VC 11 900Х400;900;400;53;790;10,57;1,82
117-9261;VC 11 900Х500;900;500;53;987;13,00;2,28
117-9262;VC 11 900Х600;900;600;53;1185;15,44;2,73
117-9263;VC 11 900Х700;900;700;53;1382;17,88;3,19
117-9264;VC 11 900Х800;900;800;53;1580;20,32;3,64
117-9265;VC 11 900Х900;900;900;53;1777;22,75;4,10
117-9266;VC 11 900Х1000;900;1000;53;1975;25,19;4,55
117-9267;VC 11 900Х1100;900;1100;53;2172;27,63;5,01
117-9268;VC 11 900Х1200;900;1200;53;2370;30,07;5,46
117-9269;VC 11 900Х1300;900;1300;53;2567;32,51;5,92
117-9270;VC 11 900Х1400;900;1400;53;2764;34,94;6,37
117-9271;VC 11 900Х1500;900;1500;53;2962;37,38;6,83
117-9272;VC 11 900Х1600;900;1600;53;3159;39,82;7,28
117-9273;VC 11 900Х1700;900;1700;53;3357;42,31;7,74
117-9274;VC 11 900Х1800;900;1800;53;3554;44,75;8,19
117-9275;VC 11 900Х1900;900;1900;53;3752;47,18;8,65
117-9276;VC 11 900Х2000;900;2000;53;3949;49,62;9,10
117-9277;VC 11 900Х2100;900;2100;53;4147;52,06;9,56
117-9278;VC 11 900Х2200;900;2200;53;4344;54,50;10,01
117-9279;VC 11 900Х2300;900;2300;53;4542;56,93;10,47
117-9280;VC 11 900Х2400;900;2400;53;4739;59,37;10,92
117-9281;VC 11 900Х2500;900;2500;53;4936;61,81;11,38
117-9282;VC 11 900Х2600;900;2600;53;5134;64,25;11,83
117-9283;VC 11 900Х2700;900;2700;53;5331;66,69;12,29
117-9284;VC 11 900Х2800;900;2800;53;5529;69,12;12,74
117-9285;VC 11 900Х2900;900;2900;53;5726;71,56;13,20
117-9286;VC 11 900Х3000;900;3000;53;5924;74,00;13,65
