Номенклатурный номер;Модель;Высота, мм;Длина, мм;Глубина, мм;Теплоотдача, Вт;Масса НЕТТО, кг;Объем, л
117-8939;C 33 400Х2200;400;2200;160;5468;67,82;14,26
117-8940;C 33 400Х2300;400;2300;160;5717;70,84;14,90
117-8941;C 33 400Х2400;400;2400;160;5965;73,99;15,55
117-8942;C 33 400Х2500;400;2500;160;6214;77,00;16,20
117-8943;C 33 400Х2600;400;2600;160;6462;80,02;16,85
117-8944;C 33 400Х2700;400;2700;160;6711;83,03;17,50
117-8945;C 33 400Х2800;400;2800;160;6960;86,05;18,14
117-8946;C 33 400Х2900;400;2900;160;7208;89,06;18,79
117-8947;C 33 400Х3000;400;3000;160;7457;92,08;19,44
117-8948;C 33 500Х400;500;400;160;1200;16,19;3,16
117-8949;C 33 500Х500;500;500;160;1500;19,99;3,95
117-8950;C 33 500Х600;500;600;160;1801;23,78;4,74
117-8951;C 33 500Х700;500;700;160;2101;27,58;5,53
117-8952;C 33 500Х800;500;800;160;2401;31,38;6,32
117-8953;C 33 500Х900;500;900;160;2701;35,31;7,11
117-8954;C 33 500Х1000;500;1000;160;3001;39,11;7,90
117-8955;C 33 500Х1100;500;1100;160;3301;42,91;8,69
117-8956;C 33 500Х1200;500;1200;160;3601;46,70;9,48
117-8957;C 33 500Х1300;500;1300;160;3901;50,50;10,27
117-8958;C 33 500Х1400;500;1400;160;4201;54,43;11,06
117-8959;C 33 500Х1500;500;1500;160;4501;58,23;11,85
117-8960;C 33 500Х1600;500;1600;160;4802;62,03;12,64
117-8961;C 33 500Х1700;500;1700;160;5102;65,87;13,43
117-8962;C 33 500Х1800;500;1800;160;5402;69,67;14,22
117-8963;C 33 500Х1900;500;1900;160;5702;73,60;15,01
117-8964;C 33 500Х2000;500;2000;160;6002;77,40;15,80
117-8965;C 33 500Х2100;500;2100;160;6302;81,20;16,59
117-8966;C 33 500Х2200;500;2200;160;6602;85,00;17,38
117-8967;C 33 500Х2300;500;2300;160;6902;88,79;18,17
117-8968;C 33 500Х2400;500;2400;160;7202;92,73;18,96
117-8969;C 33 500Х2500;500;2500;160;7502;96,52;19,75
117-8970;C 33 500Х2600;500;2600;160;7802;100,32;20,54
117-8971;C 33 500Х2700;500;2700;160;8103;104,12;21,33
117-8972;C 33 500Х2800;500;2800;160;8403;107,92;22,12
117-8973;C 33 500Х2900;500;2900;160;8703;111,71;22,91
117-8974;C 33 500Х3000;500;3000;160;9003;115,51;23,70
117-8975;C 33 600Х400;600;400;160;1399;19,27;3,66
117-8976;C 33 600Х500;600;500;160;1749;23,85;4,58
117-8977;C 33 600Х600;600;600;160;2099;28,43;5,49
117-8978;C 33 600Х700;600;700;160;2449;33,01;6,41
117-8979;C 33 600Х800;600;800;160;2799;37,59;7,32
117-8980;C 33 600Х900;600;900;160;3148;42,31;8,24
117-8981;C 33 600Х1000;600;1000;160;3498;46,89;9,15
117-8982;C 33 600Х1100;600;1100;160;3848;51,47;10,07
117-8983;C 33 600Х1200;600;1200;160;4198;56,05;10,98
117-8984;C 33 600Х1300;600;1300;160;4548;60,63;11,90
117-8985;C 33 600Х1400;600;1400;160;4897;65,34;12,81
117-8986;C 33 600Х1500;600;1500;160;5247;69,93;13,73
117-8987;C 33 600Х1600;600;1600;160;5597;74,51;14,64
117-8988;C 33 600Х1700;600;1700;160;5947;79,14;15,56
117-8989;C 33 600Х1800;600;1800;160;6297;83,72;16,47
117-8990;C 33 600Х1900;600;1900;160;6647;88,43;17,39
117-8991;C 33 600Х2000;600;2000;160;6996;93,01;18,30
117-8992;C 33 600Х2100;600;2100;160;7346;97,59;19,22
117-8993;C 33 600Х2200;600;2200;160;7696;102,17;20,13
117-8994;C 33 600Х2300;600;2300;160;8046;106,75;21,05
117-8995;C 33 600Х2400;600;2400;160;8396;111,47;21,96
117-8996;C 33 600Х2500;600;2500;160;8745;116,05;22,88
117-8997;C 33 600Х2600;600;2600;160;9095;120,63;23,79
117-8998;C 33 600Х2700;600;2700;160;9445;125,21;24,71
117-8999;C 33 600Х2800;600;2800;160;9795;129,79;25,62
117-9000;C 33 600Х2900;600;2900;160;10145;134,37;26,54
117-9001;C 33 600Х3000;600;3000;160;10495;138,95;27,45
117-9002;C 33 900Х400;900;400;160;1952;28,53;5,54
117-9003;C 33 900Х500;900;500;160;2440;35,46;6,93
117-9004;C 33 900Х600;900;600;160;2928;42,38;8,31
117-9005;C 33 900Х700;900;700;160;3416;49,31;9,70
117-9006;C 33 900Х800;900;800;160;3904;56,24;11,08
117-9007;C 33 900Х900;900;900;160;4392;63,30;12,47
117-9008;C 33 900Х1000;900;1000;160;4880;70,23;13,85
117-9009;C 33 900Х1100;900;1100;160;5368;77,16;15,24
117-9010;C 33 900Х1200;900;1200;160;5856;84,09;16,62
117-9011;C 33 900Х1300;900;1300;160;6344;91,02;18,01
117-9012;C 33 900Х1400;900;1400;160;6832;98,08;19,39
117-9013;C 33 900Х1500;900;1500;160;7320;105,01;20,78
117-9014;C 33 900Х1600;900;1600;160;7808;111,94;22,16
117-9015;C 33 900Х1700;900;1700;160;8296;118,92;23,55
117-9016;C 33 900Х1800;900;1800;160;8784;125,85;24,93
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;; ;;
